NDC_CODE,MAPPED_NDC_CODE,MODE,PRIORITY,VOLUME,CLIENT,BAG_TYPE,BAG_IDENTIFIER,PTL_ID,ptl_cutoff_time
Adoor_CananNagar1_D (Kerala),Madurai_Avaniyapuram_H (Tamil Nadu),S,ANY,ANY,ANY,Surface,Madurai_Kollam_S,0022,0030;0330;0830;1230;1500;2030;2330
Adoor_CananNagar_D (Kerala),Madurai_Avaniyapuram_H (Tamil Nadu),E,ANY,ANY,ANY,Express,Madurai_S,0023,0030;0130;0730;1330;1830
Adoor_CananNagar_D (Kerala),Madurai_Avaniyapuram_H (Tamil Nadu),S,ANY,ANY,ANY,Surface,Madurai_Kollam_S,0022,0030;0330;0830;1230;1500;2030;2330
Adoor_Pidavoor_D (Kerala),Madurai_Avaniyapuram_H (Tamil Nadu),E,ANY,ANY,ANY,Express,Madurai_S,0023,0030;0130;0730;1330;1830
Adoor_Pidavoor_D (Kerala),Madurai_Avaniyapuram_H (Tamil Nadu),S,ANY,ANY,ANY,Surface,Madurai_Kollam_S,0022,0030;0330;0830;1230;1500;2030;2330
Afzalpur_GanagapurRoad_D (Karnataka),Gulbarga_Kapnoor_I (Karnataka),E,ANY,ANY,ANY,Express,Hyderabad_S,0055,0030;0130;0730;1330;1830
Afzalpur_GanagapurRoad_D (Karnataka),Gulbarga_Kapnoor_I (Karnataka),S,ANY,ANY,ANY,Surface,Hyderabad_S,0026,0030;0330;0830;1230;1500;2030;2330
Afzalpur_Usmaniacolony_D (Karnataka),Gulbarga_Kapnoor_I (Karnataka),E,ANY,ANY,ANY,Express,Hyderabad_S,0055,0030;0130;0730;1330;1830
Afzalpur_Usmaniacolony_D (Karnataka),Gulbarga_Kapnoor_I (Karnataka),S,ANY,ANY,ANY,Surface,Hyderabad_S,0026,0030;0330;0830;1230;1500;2030;2330
Agali_Thavalam1_D (Kerala),Coimbatore_Pudhupalayam_GW (Tamil Nadu),E,ANY,ANY,ANY,Express,Coimbatore_S,0032,0030;0130;0730;1330;1830
Agali_Thavalam1_D (Kerala),Coimbatore_Pudhupalayam_GW (Tamil Nadu),S,ANY,ANY,ANY,Surface,Coimbatore_S,0016,0030;0330;0830;1230;1500;2030;2330
Agali_Thavalam_D (Kerala),Coimbatore_Pudhupalayam_GW (Tamil Nadu),E,ANY,ANY,ANY,Express,Coimbatore_S,0032,0030;0130;0730;1330;1830
Agali_Thavalam_D (Kerala),Coimbatore_Pudhupalayam_GW (Tamil Nadu),S,ANY,ANY,ANY,Surface,Coimbatore_S,0016,0030;0330;0830;1230;1500;2030;2330
Agartala_Dhaleswar_D (Tripura),Agartala_UttarChampamura_I (Tripura),E,ANY,ANY,ANY,Express,Agartala_E,0051,0030;0130;0730;1330;1830
Agartala_Dhaleswar_D (Tripura),Guwahati_KaliPahar_GW (Assam),S,ANY,ANY,ANY,Surface,Guwahati_E,0024,0030;0330;0830;1230;1500;2030;2330
Agartala_Dukli_D (Tripura),Agartala_UttarChampamura_I (Tripura),E,ANY,ANY,ANY,Express,Agartala_E,0051,0030;0130;0730;1330;1830
Agartala_Dukli_D (Tripura),Guwahati_KaliPahar_GW (Assam),S,ANY,ANY,ANY,Surface,Guwahati_E,0024,0030;0330;0830;1230;1500;2030;2330
Agartala_Jirania1_D (Tripura),Agartala_UttarChampamura_I (Tripura),E,ANY,ANY,ANY,Express,Agartala_E,0051,0030;0130;0730;1330;1830
Agartala_Jirania1_D (Tripura),Guwahati_KaliPahar_GW (Assam),S,ANY,ANY,ANY,Surface,Guwahati_E,0024,0030;0330;0830;1230;1500;2030;2330
