NDC_CODE,MAPPED_NDC_CODE,MODE,PRIORITY,VOLUME,CLIENT,BAG_TYPE,BAG_IDENTIFIER,PTL_ID,ptl_cutoff_time
Karwar_Sadashivgad_D (Karnataka),Goa_Hub (Goa),S,ANY,ANY,ANY,Surface,Goa_W,0032,0030;0330;0830;1230;1500;2030;2330
Kathipudi_YdvaSt_D (Andhra Pradesh),Rajahmundry_Rajanagaram_H (Andhra Pradesh),S,ANY,ANY,ANY,Surface,Vijayawada_S,0033,0500;2230
Katoriya_Dumarthar_DPP (Bihar),Lakhisarai_Central_I_2 (Bihar),S,ANY,ANY,ANY,Surface,Patna_E,0034,0330;0900;1700;2330
Katwa_Panchghara_D (West Bengal),Bardhaman_Ulhas_I (West Bengal),E,ANY,ANY,ANY,Express,Kolkata_E,0035,0030;0430;2030;2230
Kendrapara_Chhagharia_D (Orissa),Bhubaneswar_Bampakhuda_GW (Orissa),E,ANY,ANY,ANY,Express,Bhubaneshwar_E,0036,0030;0430;2030;2230
Kendrapara_Korua1_D (Orissa),Bhubaneswar_Bampakhuda_GW (Orissa),E,ANY,ANY,ANY,Express,Bhubaneshwar_E,0037,0030;0430;2030;2230
Kendrapara_Penthapal_D (Orissa),Bhubaneswar_Bampakhuda_GW (Orissa),E,ANY,ANY,ANY,Express,Bhubaneshwar_E,0038,0030;0430;2030;2230
Kerakat_Lalganj_D (Uttar Pradesh),Azamgarh_Husanganj_H (Uttar Pradesh),E,ANY,ANY,ANY,Express,Varanasi_N,0039,0030;0430;2030;2230
Khagaria_Baluwahi_DPP (Bihar),Patna_Janarjanpur_H (Bihar),S,ANY,ANY,ANY,Surface,Patna_E,0040,0030;0330;0830;1230;1500;2030;2330
Khargram_Kandi_D (West Bengal),Berhampore_Mankara_I (West Bengal),E,ANY,ANY,ANY,Express,Kolkata_E,0041,0030;0430;2030;2230
Khategaon_ChohanClny_D (Madhya Pradesh),Bhopal_Pipaliya_H (Madhya Pradesh),S,ANY,ANY,ANY,Surface,Bhopal_W,0042,0030;0330;0830;1230;1500;2030;2330
Khurdha_Jatni_D (Orissa),Bhubaneswar_Bampakhuda_GW (Orissa),E,ANY,ANY,ANY,Express,Bhubaneshwar_E,0043,0030;0430;2030;2230
Khurdha_Palla_D (Orissa),Bhubaneswar_Bampakhuda_GW (Orissa),E,ANY,ANY,ANY,Express,Bhubaneshwar_E,0044,0030;0430;2030;2230
Koduru_Jagadampalli_D (Andhra Pradesh),Cuddapah_Aravindnagar_I (Andhra Pradesh),E,ANY,ANY,ANY,Express,Hyderabad_S,0045,0030;0430;2030;2230
Kolar_Channappanahalli_D (Karnataka),Bangalore_Hoskote_GW (Karnataka),E,ANY,ANY,ANY,Express,Bangalore_S,0046,2100;2130
Kolar_Jayanagara_D (Karnataka),Bangalore_Hoskote_GW (Karnataka),E,ANY,ANY,ANY,Express,Bangalore_S,0047,2100;2130
Kolkata_Belghoria_C (West Bengal),Kolkata_Dankuni_I (West Bengal),ANY,ANY,ANY,ANY,Surface,Kolkata_E,0048,0030;0330;0830;1230;1500;2030;2330
Kolkata_ChinarPark_C (West Bengal),Kolkata_Dankuni_I (West Bengal),ANY,ANY,ANY,ANY,Surface,Kolkata_E,0049,0030;0330;0830;1230;1500;2030;2330
Kolkata_DankuniGW_R (West Bengal),Kolkata_Dankuni_I (West Bengal),ANY,ANY,ANY,ANY,Surface,Kolkata_E,0050,0030;0330;0830;1230;1500;2030;2330
Kolkata_Dankuni_I (West Bengal),Kolkata_Dankuni_I (West Bengal),ANY,ANY,ANY,ANY,Surface,Kolkata_E,0051,0030;0330;0830;1230;1500;2030;2330
Kolkata_FedExVRTL_D (West Bengal),Kolkata_Dankuni_I (West Bengal),ANY,ANY,ANY,ANY,Surface,Kolkata_E,0052,0030;0330;0830;1230;1500;2030;2330
Kolkata_Gobra_C (West Bengal),Kolkata_Dankuni_I (West Bengal),ANY,ANY,ANY,ANY,Surface,Kolkata_E,0053,0030;0330;0830;1230;1500;2030;2330
Kolkata_Paharpur_C (West Bengal),Kolkata_Dankuni_I (West Bengal),ANY,ANY,ANY,ANY,Surface,Kolkata_E,0054,0030;0330;0830;1230;1500;2030;2330
